"cov","mu","sd","PopulationName"
"ms",312.641235631975,459.601336034558,"CA_Eagle"
"ms",925.983471182597,1482.10519431741,"CA_EastForkCarson"
"ms",286.376951831072,442.487925624312,"CA_EastForkCarson_up1"
"ms",236.6785869349,361.99262522183,"CA_EastForkCarson_up2"
"ms",1128.06979984212,1810.13144037792,"CA_EastForkCarsonReconnect"
"ms",133.427871046994,234.92563934644,"CA_Forestdale"
"ms",139.776651270506,227.451415249824,"CA_GoldenCanyon"
"ms",343.275176608034,510.632145331292,"CA_Horse"
"ms",39.2208680234844,62.9694237691291,"CA_Horsethief"
"ms",40.5011217585812,65.6846761105905,"CA_Hunter"
"ms",85.6920151359937,149.735920459533,"CA_JeffDavis"
"ms",1404.40859521606,2741.65838824699,"CA_LittleTruckee"
"ms",64.9367584662375,82.3295201258929,"CA_Mill_dwn"
"ms",44.3140713637219,58.8992532759507,"CA_Mill_up"
"ms",13.1126236432281,9.98699957255547,"CA_Mountaineer"
"ms",8.40683891955937,6.58284072430046,"CA_Mountaineer_E_up"
"ms",3.94720311104375,2.9164344242514,"CA_Mountaineer_W_up"
"ms",53.732387039125,88.0754336207737,"CA_Murphy"
"ms",130.914479649553,212.424031040574,"CA_MurrayCanyon"
"ms",63.4426728733531,103.531740324565,"CA_Paiute_CorralValley"
"ms",68.7238321837875,113.571640392266,"CA_Paiute_CoyoteValley"
"ms",33.3526517923437,53.7150824096397,"CA_Paiute_FlyValley"
"ms",42.3716867426875,70.0226081206298,"CA_Paiute_FourMileCanyon"
"ms",554.310927289453,888.235501597476,"CA_Paiute_Historic"
"ms",245.486085397087,397.687638080046,"CA_Paiute_UpSilverKing"
"ms",440.333464143278,867.236530191921,"CA_Perazzo"
"ms",65.8514373784563,104.513281699151,"CA_PoisonFlat"
"ms",117.128109840953,167.280801884864,"CA_Pole"
"ms",51.4401430602188,81.0276237673737,"CA_RaymondMeadows"
"ms",1115.08426751901,1646.33349045447,"CA_Robinson"
"ms",359.511015102916,253.758792222621,"CA_RoBoReconnect"
"ms",77.5674466036187,49.5395191794991,"CA_Rough"
